date,p,activity
2018/3/20 12:02,103,SITTING
2018/3/20 12:02,118,SITTING
2018/3/20 12:02,109,SITTING
2018/3/20 12:02,113,SITTING
2018/3/20 12:02,123,SITTING
2018/3/20 12:02,121,SITTING
2018/3/20 12:02,123,SITTING
2018/3/20 12:02,109,SITTING
2018/3/20 12:02,123,SITTING
2018/3/20 12:02,116,SITTING
2018/3/20 12:02,103,SITTING
2018/3/20 12:02,107,SITTING
2018/3/20 12:02,99,SITTING
2018/3/20 12:02,96,SITTING
2018/3/20 12:02,123,SITTING
2018/3/20 12:02,114,SITTING
2018/3/20 12:02,109,SITTING
2018/3/20 12:02,112,SITTING
2018/3/20 12:02,105,SITTING
2018/3/20 12:02,107,SITTING
2018/3/20 12:02,122,SITTING
2018/3/20 12:02,121,SITTING
2018/3/20 12:02,112,SITTING
2018/3/20 12:02,112,SITTING
2018/3/20 12:02,114,SITTING
2018/3/20 12:02,111,SITTING
2018/3/20 12:02,103,SITTING
2018/3/20 12:02,106,SITTING
2018/3/20 12:02,106,SITTING
2018/3/20 12:02,106,SITTING
2018/3/20 12:02,102,SITTING
2018/3/20 12:02,107,SITTING
2018/3/20 12:02,105,SITTING
2018/3/20 12:02,105,SITTING
2018/3/20 12:02,107,SITTING
2018/3/20 12:02,108,SITTING
2018/3/20 12:02,109,SITTING
2018/3/20 12:02,105,SITTING
2018/3/20 12:02,108,SITTING
2018/3/20 12:02,108,SITTING
2018/3/20 12:02,103,SITTING
2018/3/20 12:02,103,SITTING
2018/3/20 12:02,107,SITTING
2018/3/20 12:02,106,SITTING
2018/3/20 12:02,108,SITTING
2018/3/20 12:02,106,SITTING
2018/3/20 12:02,100,SITTING
2018/3/20 12:02,107,SITTING
2018/3/20 12:02,107,SITTING
2018/3/20 12:02,107,SITTING
2018/3/20 12:02,121,SITTING
2018/3/20 12:02,101,SITTING
2018/3/20 12:02,108,SITTING
2018/3/20 12:02,108,SITTING
2018/3/20 12:02,101,SITTING
2018/3/20 12:02,107,SITTING
2018/3/20 12:02,111,SITTING
2018/3/20 12:02,110,SITTING
2018/3/20 12:02,111,SITTING
2018/3/20 12:02,106,SITTING
2018/3/20 12:02,101,SITTING
2018/3/20 12:02,106,SITTING
2018/3/20 12:02,109,SITTING
2018/3/20 12:03,106,SITTING
2018/3/20 12:03,106,SITTING
2018/3/20 12:03,110,SITTING
2018/3/20 12:03,109,SITTING
2018/3/20 12:03,105,SITTING
2018/3/20 12:03,109,SITTING
2018/3/20 12:03,108,SITTING
2018/3/20 12:03,104,SITTING
2018/3/20 12:03,103,SITTING
2018/3/20 12:03,100,SITTING
2018/3/20 12:03,108,SITTING
2018/3/20 12:03,106,SITTING
2018/3/20 12:03,103,SITTING
2018/3/20 12:03,102,SITTING
2018/3/20 12:03,105,SITTING
2018/3/20 12:03,105,SITTING
2018/3/20 12:03,108,SITTING
2018/3/20 12:03,110,SITTING
2018/3/20 12:03,106,SITTING
2018/3/20 12:03,105,SITTING
2018/3/20 12:03,111,SITTING
2018/3/20 12:03,105,SITTING
2018/3/20 12:03,122,SITTING
2018/3/20 12:03,119,SITTING
2018/3/20 12:03,121,SITTING
2018/3/20 12:03,121,SITTING
2018/3/20 12:03,105,SITTING
2018/3/20 12:03,29,STAND
2018/3/20 12:03,29,STAND
2018/3/20 12:03,27,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,19,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,22,STAND
2018/3/20 12:03,22,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,22,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,22,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,22,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,22,STAND
2018/3/20 12:03,22,STAND
2018/3/20 12:03,22,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,22,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,22,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,21,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:03,20,STAND
2018/3/20 12:04,20,STAND
2018/3/20 12:04,20,STAND
2018/3/20 12:04,20,STAND
2018/3/20 12:04,20,STAND
2018/3/20 12:04,21,STAND
2018/3/20 12:04,20,STAND
2018/3/20 12:04,21,STAND
2018/3/20 12:04,21,STAND
2018/3/20 12:04,20,STAND
2018/3/20 12:04,21,STAND
2018/3/20 12:04,12,STAND
2018/3/20 12:04,9,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,9,STAND
2018/3/20 12:04,9,STAND
2018/3/20 12:04,9,STAND
2018/3/20 12:04,9,STAND
2018/3/20 12:04,9,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,11,STAND
2018/3/20 12:04,11,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,11,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,11,STAND
2018/3/20 12:04,11,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,10,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,5,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,5,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,5,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,250,SITTING
2018/3/20 12:06,250,SITTING
2018/3/20 12:06,252,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,252,SITTING
2018/3/20 12:06,252,SITTING
2018/3/20 12:06,252,SITTING
2018/3/20 12:06,252,SITTING
2018/3/20 12:06,255,SITTING
2018/3/20 12:06,259,SITTING
2018/3/20 12:06,261,SITTING
2018/3/20 12:06,261,SITTING
2018/3/20 12:06,261,SITTING
2018/3/20 12:06,261,SITTING
2018/3/20 12:06,260,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,258,SITTING
2018/3/20 12:06,280,SITTING
2018/3/20 12:06,243,SITTING
2018/3/20 12:06,318,SITTING
2018/3/20 12:06,45,STAND
2018/3/20 12:06,40,STAND
2018/3/20 12:06,33,STAND
2018/3/20 12:06,27,STAND
2018/3/20 12:06,28,STAND
2018/3/20 12:06,19,STAND
2018/3/20 12:06,18,STAND
2018/3/20 12:06,16,STAND
2018/3/20 12:06,15,STAND
2018/3/20 12:06,12,STAND
2018/3/20 12:06,12,STAND
2018/3/20 12:06,11,STAND
2018/3/20 12:06,11,STAND
2018/3/20 12:06,11,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,5,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,5,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,5,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
